,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,31536692.0,31485187.0,31033098.0,30986299.0,
Share Issued,31536692.0,31485187.0,31033098.0,30986299.0,
Total Debt,252366000.0,228256000.0,223063000.0,203073000.0,
Tangible Book Value,5277926000.0,4223024000.0,3142110000.0,2407916000.0,
Invested Capital,5285427000.0,4231524000.0,3150867000.0,2416056000.0,
Working Capital,4902445000.0,3870442000.0,2807431000.0,2099863000.0,
Net Tangible Assets,5277926000.0,4223024000.0,3142110000.0,2407916000.0,
Capital Lease Obligations,252366000.0,228256000.0,223063000.0,203073000.0,
Common Stock Equity,5285427000.0,4231524000.0,3150867000.0,2416056000.0,
Total Capitalization,5285427000.0,4231524000.0,3150867000.0,2416056000.0,
Total Equity Gross Minority Interest,5285427000.0,4231524000.0,3150867000.0,2416056000.0,
Stockholders Equity,5285427000.0,4231524000.0,3150867000.0,2416056000.0,
Other Equity Interest,108483000.0,118547000.0,151471000.0,150298000.0,
Retained Earnings,4577091000.0,3509120000.0,2601282000.0,1906795000.0,
Additional Paid In Capital,656873000.0,585331000.0,390043000.0,352399000.0,
Capital Stock,315000.0,315000.0,310000.0,310000.0,
Common Stock,315000.0,315000.0,310000.0,310000.0,
Total Liabilities Net Minority Interest,6971422000.0,7193755000.0,6417504000.0,5204232000.0,
Total Non Current Liabilities Net Minority Interest,184064000.0,176058000.0,181815000.0,222960000.0,
Other Non Current Liabilities,171000.0,1936000.0,1563000.0,6742000.0,
Derivative Product Liabilities,,0.0,1400000.0,35000000.0,81700000.0
Non Current Deferred Taxes Liabilities,624000.0,801000.0,6455000.0,11345000.0,
Long Term Debt And Capital Lease Obligation,183269000.0,173321000.0,172397000.0,169873000.0,
Long Term Capital Lease Obligation,183269000.0,173321000.0,172397000.0,169873000.0,
Current Liabilities,6787358000.0,7017697000.0,6235689000.0,4981272000.0,
Current Debt And Capital Lease Obligation,69097000.0,54935000.0,50666000.0,33200000.0,
Current Capital Lease Obligation,69097000.0,54935000.0,50666000.0,33200000.0,
Pensionand Other Post Retirement Benefit Plans Current,50704000.0,54383000.0,35957000.0,30041000.0,
Payables,6572977000.0,6833831000.0,6101055000.0,4875760000.0,
Other Payable,6371815000.0,6684721000.0,5953563000.0,4795804000.0,
Total Tax Payable,164988000.0,113897000.0,133382000.0,60034000.0,
Accounts Payable,36174000.0,35213000.0,14110000.0,19922000.0,
Total Assets,12256849000.0,11425279000.0,9568371000.0,7620288000.0,
Total Non Current Assets,567046000.0,537140000.0,525251000.0,539153000.0,
Non Current Deferred Taxes Assets,83652000.0,105056000.0,112679000.0,147665000.0,
Investmentin Financial Assets,3865000.0,9486000.0,14821000.0,12264000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,3865000.0,9486000.0,14821000.0,12264000.0,
Goodwill And Other Intangible Assets,7501000.0,8500000.0,8757000.0,8140000.0,
Other Intangible Assets,7501000.0,8500000.0,8757000.0,8140000.0,
Net PPE,468979000.0,408139000.0,364799000.0,322472000.0,
Accumulated Depreciation,-418828000.0,-300002000.0,-199603000.0,-143013000.0,
Gross PPE,887807000.0,708141000.0,564402000.0,465485000.0,
Other Properties,33963000.0,23852000.0,12745000.0,5244000.0,
Machinery Furniture Equipment,383530000.0,284712000.0,216513000.0,178707000.0,
Buildings And Improvements,470314000.0,399577000.0,335144000.0,281534000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,11689803000.0,10888139000.0,9043120000.0,7081135000.0,
Restricted Cash,372415000.0,233157000.0,88860000.0,68564000.0,
Inventory,76959000.0,99848000.0,104502000.0,87891000.0,
Other Receivables,561683000.0,658854000.0,490052000.0,369104000.0,
Taxes Receivable,6625000.0,8433000.0,7310000.0,12445000.0,
Accounts Receivable,217007000.0,132062000.0,134274000.0,89350000.0,
Allowance For Doubtful Accounts Receivable,-19610000.0,-13941000.0,-9590000.0,-4049000.0,
Gross Accounts Receivable,236617000.0,146003000.0,143864000.0,93399000.0,
Cash Cash Equivalents And Short Term Investments,10455114000.0,9755785000.0,8218122000.0,6453781000.0,
Other Short Term Investments,30128000.0,23912000.0,,,
Cash And Cash Equivalents,10424986000.0,9731873000.0,8218122000.0,6453781000.0,
Cash Financial,10424986000.0,9731873000.0,8218122000.0,6453781000.0,
