,2025-12-31,2025-06-30,2024-12-31
Ordinary Shares Number,31536692.0,31508146.0,31485187.0
Share Issued,31536692.0,31508146.0,31485187.0
Total Debt,252366000.0,247540000.0,228256000.0
Tangible Book Value,5277926000.0,4666704000.0,4223024000.0
Invested Capital,5285427000.0,4675100000.0,4231524000.0
Working Capital,4902445000.0,4321428000.0,3870442000.0
Net Tangible Assets,5277926000.0,4666704000.0,4223024000.0
Capital Lease Obligations,252366000.0,247540000.0,228256000.0
Common Stock Equity,5285427000.0,4675100000.0,4231524000.0
Total Capitalization,5285427000.0,4675100000.0,4231524000.0
Total Equity Gross Minority Interest,5285427000.0,4675100000.0,4231524000.0
Stockholders Equity,5285427000.0,4675100000.0,4231524000.0
Other Equity Interest,108483000.0,108370000.0,118547000.0
Retained Earnings,4577091000.0,4000199000.0,3518606000.0
Additional Paid In Capital,656873000.0,614925000.0,585331000.0
Capital Stock,315000.0,315000.0,315000.0
Common Stock,315000.0,315000.0,315000.0
Total Liabilities Net Minority Interest,6971422000.0,9264306000.0,7193755000.0
Total Non Current Liabilities Net Minority Interest,184064000.0,193491000.0,176058000.0
Other Non Current Liabilities,171000.0,1090000.0,1936000.0
Derivative Product Liabilities,,,0.0
Non Current Deferred Taxes Liabilities,624000.0,931000.0,801000.0
Long Term Debt And Capital Lease Obligation,183269000.0,191470000.0,173321000.0
Long Term Capital Lease Obligation,183269000.0,191470000.0,173321000.0
Current Liabilities,6787358000.0,9070815000.0,7017697000.0
Current Debt And Capital Lease Obligation,69097000.0,56070000.0,54935000.0
Current Capital Lease Obligation,69097000.0,56070000.0,54935000.0
Pensionand Other Post Retirement Benefit Plans Current,50704000.0,,
Payables,6572977000.0,9014745000.0,6962762000.0
Other Payable,6371815000.0,8734555000.0,6684721000.0
Total Tax Payable,164988000.0,26065000.0,23903000.0
Accounts Payable,36174000.0,254125000.0,254138000.0
Total Assets,12256849000.0,13939406000.0,11425279000.0
Total Non Current Assets,567046000.0,547163000.0,537140000.0
Non Current Deferred Taxes Assets,83652000.0,91642000.0,105056000.0
Investmentin Financial Assets,3865000.0,9380000.0,9486000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,3865000.0,9380000.0,9486000.0
Goodwill And Other Intangible Assets,7501000.0,8396000.0,8500000.0
Other Intangible Assets,7501000.0,,
Net PPE,468979000.0,434068000.0,408139000.0
Accumulated Depreciation,-418828000.0,-348530000.0,-155287000.0
Gross PPE,887807000.0,782598000.0,563426000.0
Other Properties,33963000.0,24596000.0,224050000.0
Machinery Furniture Equipment,383530000.0,322392000.0,284712000.0
Buildings And Improvements,470314000.0,435610000.0,54664000.0
Properties,0.0,0.0,0.0
Current Assets,11689803000.0,13392243000.0,10888139000.0
Restricted Cash,372415000.0,102503000.0,112638000.0
Inventory,76959000.0,66949000.0,99848000.0
Other Receivables,561683000.0,616992000.0,658854000.0
Taxes Receivable,6625000.0,3781000.0,8433000.0
Accounts Receivable,217007000.0,155408000.0,132062000.0
Allowance For Doubtful Accounts Receivable,-19610000.0,,
Gross Accounts Receivable,236617000.0,,
Cash Cash Equivalents And Short Term Investments,10455114000.0,12446610000.0,9876304000.0
Other Short Term Investments,30128000.0,28405000.0,23912000.0
Cash And Cash Equivalents,10424986000.0,12418205000.0,9852392000.0
Cash Financial,10424986000.0,12418205000.0,9852392000.0
