,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,904629000.0,1603527000.0,1800297000.0,1922060000.0
Issuance Of Capital Stock,19736000.0,112006000.0,13201000.0,9926000.0
Capital Expenditure,-125793000.0,-101249000.0,-69743000.0,-99098000.0
End Cash Position,10797401000.0,9965030000.0,8306982000.0,6522345000.0
Beginning Cash Position,9965030000.0,8306982000.0,6522345000.0,4616094000.0
Effect Of Exchange Rate Changes,-40628000.0,1297000.0,4950000.0,-14998000.0
Changes In Cash,872999000.0,1656751000.0,1779687000.0,1921249000.0
Financing Cash Flow,-27884000.0,70598000.0,-20610000.0,-12218000.0
Net Common Stock Issuance,19736000.0,112006000.0,13201000.0,9926000.0
Common Stock Issuance,19736000.0,112006000.0,13201000.0,9926000.0
Investing Cash Flow,-129539000.0,-118623000.0,-69743000.0,-87691000.0
Net Investment Purchase And Sale,-3746000.0,-17374000.0,0.0,11407000.0
Sale Of Investment,24104000.0,8824000.0,0.0,11407000.0
Purchase Of Investment,-27850000.0,-26198000.0,0.0,0.0
Net PPE Purchase And Sale,-123661000.0,-98220000.0,-65605000.0,-95575000.0
Purchase Of PPE,-123661000.0,-98220000.0,-65605000.0,-95575000.0
Capital Expenditure Reported,-2132000.0,-3029000.0,-4138000.0,-3523000.0
Operating Cash Flow,1030422000.0,1704776000.0,1870040000.0,2021158000.0
Taxes Refund Paid,-264328000.0,-320543000.0,-155166000.0,-149573000.0
Interest Received Cfo,285530000.0,376878000.0,246401000.0,29323000.0
Interest Paid Cfo,-19700000.0,-26740000.0,-4783000.0,-11963000.0
Change In Working Capital,-243906000.0,654125000.0,1011407000.0,1423933000.0
Change In Payable,-281787000.0,796794000.0,1175982000.0,1227428000.0
Change In Inventory,22889000.0,4654000.0,-22880000.0,-65753000.0
Change In Receivables,14992000.0,-147323000.0,-141695000.0,262258000.0
Other Non Cash Items,-273551000.0,-348249000.0,-240521000.0,-17360000.0
Stock Based Compensation,40606000.0,35159000.0,28049000.0,1150000.0
Depreciation And Amortization,135848000.0,104463000.0,85453000.0,63613000.0
Amortization Cash Flow,3131000.0,3286000.0,3521000.0,5224000.0
Depreciation,132717000.0,101177000.0,81932000.0,58389000.0
Gain Loss On Investment Securities,-1346000.0,-2867000.0,-36810000.0,-46547000.0
Net Foreign Currency Exchange Gain Loss,-22714000.0,5820000.0,-6599000.0,8643000.0
Net Income From Continuing Operations,1393983000.0,1226730000.0,942609000.0,719939000.0
