,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,320078.8,704708.6,9541152.0,10072770.8,
Tax Rate For Calcs,0.2378,0.2458,0.2592,0.2164,
Normalized EBITDA,1548185000.0,1355066000.0,996035000.0,748968000.0,
Total Unusual Items,1346000.0,2867000.0,36810000.0,46547000.0,
Total Unusual Items Excluding Goodwill,1346000.0,2867000.0,36810000.0,46547000.0,
Net Income From Continuing Operation Net Minority Interest,1062526000.0,925163000.0,698322000.0,564139000.0,
Reconciled Depreciation,135848000.0,104463000.0,85453000.0,63613000.0,
Reconciled Cost Of Revenue,295279000.0,237826000.0,237345000.0,7605445000.0,
EBITDA,1549531000.0,1357933000.0,1032845000.0,795515000.0,
EBIT,1413683000.0,1253470000.0,947392000.0,731902000.0,
Net Interest Income,272594000.0,350138000.0,241618000.0,17360000.0,
Interest Expense,19700000.0,26740000.0,4783000.0,11963000.0,
Interest Income,292294000.0,376878000.0,246401000.0,29323000.0,
Normalized Income,1061500078.8,923000708.6,671053152.0,527664770.8,
Net Income From Continuing And Discontinued Operation,1062526000.0,925163000.0,698322000.0,564139000.0,
Total Expenses,1550630000.0,1353089000.0,1181569000.0,8270882000.0,
Diluted Average Shares,31610806.0,31263983.0,31156990.0,31046029.0,
Basic Average Shares,31511461.0,31160219.0,31012122.0,30975325.0,
Diluted EPS,33.61,29.59,22.41,18.17,
Basic EPS,33.72,29.69,22.52,18.21,
Diluted NI Availto Com Stockholders,1062526000.0,925163000.0,698322000.0,564139000.0,
Net Income Common Stockholders,1062526000.0,925163000.0,698322000.0,564139000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1062526000.0,925163000.0,698322000.0,564139000.0,
Net Income Including Noncontrolling Interests,1062526000.0,925163000.0,698322000.0,564139000.0,
Net Income Continuous Operations,1062526000.0,925163000.0,698322000.0,564139000.0,
Tax Provision,331457000.0,301567000.0,244287000.0,155800000.0,
Pretax Income,1393983000.0,1226730000.0,942609000.0,719939000.0,
Other Non Operating Income Expenses,1061000.0,7034000.0,-24255000.0,-54000.0,
Net Non Operating Interest Income Expense,272594000.0,350138000.0,241618000.0,17360000.0,
Total Other Finance Cost,,,,,138000.0
Interest Expense Non Operating,19700000.0,26740000.0,4783000.0,11963000.0,
Interest Income Non Operating,292294000.0,376878000.0,246401000.0,29323000.0,
Operating Income,1096267000.0,872512000.0,681837000.0,664729000.0,
Operating Expense,1255351000.0,1115263000.0,944224000.0,665437000.0,
Other Operating Expenses,227720000.0,189681000.0,154484000.0,121521000.0,
Depreciation And Amortization In Income Statement,135848000.0,104463000.0,85453000.0,63613000.0,
Amortization,3131000.0,3286000.0,3521000.0,,
Depreciation Income Statement,132717000.0,101177000.0,81932000.0,63613000.0,
Selling General And Administration,65478000.0,58226000.0,52990000.0,55630000.0,
Selling And Marketing Expense,65478000.0,58226000.0,52990000.0,55630000.0,
Gross Profit,2351618000.0,1987775000.0,1626061000.0,1330166000.0,
Cost Of Revenue,295279000.0,237826000.0,237345000.0,7605445000.0,
Total Revenue,2646897000.0,2225601000.0,1863406000.0,8935611000.0,
Operating Revenue,2646897000.0,2225601000.0,1863406000.0,8935611000.0,
