,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,5296000000.0,4741000000.0,9747000000.0,9534000000.0
Repurchase Of Capital Stock,-746000000.0,-1795000000.0,-2289000000.0,-1418000000.0
Repayment Of Debt,-4967000000.0,-9533000000.0,-5034000000.0,-4930000000.0
Issuance Of Debt,4980000000.0,12061000000.0,6891000000.0,3972000000.0
Issuance Of Capital Stock,313000000.0,747000000.0,539000000.0,837000000.0
Capital Expenditure,-2112000000.0,-2064000000.0,-1852000000.0,-1484000000.0
End Cash Position,11010000000.0,11488000000.0,9692000000.0,9825000000.0
Beginning Cash Position,11488000000.0,9692000000.0,9825000000.0,10025000000.0
Effect Of Exchange Rate Changes,321000000.0,-623000000.0,-73000000.0,-205000000.0
Changes In Cash,-799000000.0,2419000000.0,-60000000.0,5000000.0
Financing Cash Flow,-8140000000.0,-6910000000.0,-8310000000.0,-10250000000.0
Cash Flow From Continuing Financing Activities,-8140000000.0,-6910000000.0,-8310000000.0,-10250000000.0
Net Other Financing Charges,1059000000.0,-31000000.0,-465000000.0,-1095000000.0
Cash Dividends Paid,-8779000000.0,-8359000000.0,-7952000000.0,-7616000000.0
Common Stock Dividend Paid,-8779000000.0,-8359000000.0,-7952000000.0,-7616000000.0
Net Common Stock Issuance,-433000000.0,-1048000000.0,-1750000000.0,-581000000.0
Common Stock Payments,-746000000.0,-1795000000.0,-2289000000.0,-1418000000.0
Common Stock Issuance,313000000.0,747000000.0,539000000.0,837000000.0
Net Issuance Payments Of Debt,13000000.0,2528000000.0,1857000000.0,-958000000.0
Net Long Term Debt Issuance,13000000.0,2528000000.0,1857000000.0,-958000000.0
Long Term Debt Payments,-4967000000.0,-9533000000.0,-5034000000.0,-4930000000.0
Long Term Debt Issuance,4980000000.0,12061000000.0,6891000000.0,3972000000.0
Investing Cash Flow,-67000000.0,2524000000.0,-3349000000.0,-763000000.0
Cash Flow From Continuing Investing Activities,-67000000.0,2524000000.0,-3349000000.0,-763000000.0
Net Other Investing Changes,421000000.0,429000000.0,405000000.0,-759000000.0
Net Investment Purchase And Sale,-1495000000.0,949000000.0,-2344000000.0,1020000000.0
Sale Of Investment,4665000000.0,6589000000.0,4354000000.0,4771000000.0
Purchase Of Investment,-6160000000.0,-5640000000.0,-6698000000.0,-3751000000.0
Net Business Purchase And Sale,3106000000.0,3170000000.0,368000000.0,385000000.0
Sale Of Business,3567000000.0,3485000000.0,430000000.0,458000000.0
Purchase Of Business,-461000000.0,-315000000.0,-62000000.0,-73000000.0
Net PPE Purchase And Sale,-2099000000.0,-2024000000.0,-1778000000.0,-1409000000.0
Sale Of PPE,13000000.0,40000000.0,74000000.0,75000000.0
Purchase Of PPE,-2112000000.0,-2064000000.0,-1852000000.0,-1484000000.0
Operating Cash Flow,7408000000.0,6805000000.0,11599000000.0,11018000000.0
Cash Flow From Continuing Operating Activities,7408000000.0,6805000000.0,11599000000.0,11018000000.0
Change In Working Capital,-7208000000.0,-6234000000.0,-846000000.0,-605000000.0
Change In Other Current Liabilities,170000000.0,-63000000.0,-187000000.0,-200000000.0
Change In Payables And Accrued Expense,-7170000000.0,311000000.0,263000000.0,399000000.0
Change In Payable,-7170000000.0,311000000.0,263000000.0,399000000.0
Change In Account Payable,-6612000000.0,1134000000.0,841000000.0,759000000.0
Change In Tax Payable,-558000000.0,-823000000.0,-578000000.0,-360000000.0
Change In Income Tax Payable,-558000000.0,-823000000.0,-578000000.0,-360000000.0
Change In Prepaid Assets,-388000000.0,-5667000000.0,-323000000.0,225000000.0
Change In Inventory,-154000000.0,-520000000.0,-597000000.0,-960000000.0
Change In Receivables,334000000.0,-295000000.0,-2000000.0,-69000000.0
Changes In Account Receivables,334000000.0,-295000000.0,-2000000.0,-69000000.0
Other Non Cash Items,480000000.0,1952000000.0,1206000000.0,1193000000.0
Stock Based Compensation,279000000.0,286000000.0,254000000.0,356000000.0
Deferred Tax,517000000.0,-11000000.0,-2000000.0,-122000000.0
Deferred Income Tax,517000000.0,-11000000.0,-2000000.0,-122000000.0
Depreciation Amortization Depletion,1050000000.0,1075000000.0,1128000000.0,1260000000.0
Depreciation And Amortization,1050000000.0,1075000000.0,1128000000.0,1260000000.0
Operating Gains Losses,-847000000.0,-912000000.0,-844000000.0,-635000000.0
Earnings Losses From Equity Investments,-1038000000.0,-802000000.0,-1019000000.0,-838000000.0
Net Foreign Currency Exchange Gain Loss,191000000.0,-110000000.0,175000000.0,203000000.0
Net Income From Continuing Operations,13137000000.0,10649000000.0,10703000000.0,9571000000.0
