,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,3397862.232779,-373762723.52132,-310938000.0,-205073000.0,
Tax Rate For Calcs,0.178835,0.18623,0.174,0.181,
Normalized EBITDA,18683000000.0,17803000000.0,17394000000.0,14961000000.0,
Total Unusual Items,19000000.0,-1986000000.0,-1787000000.0,-1133000000.0,
Total Unusual Items Excluding Goodwill,19000000.0,-1986000000.0,-1787000000.0,-1133000000.0,
Net Income From Continuing Operation Net Minority Interest,13107000000.0,10631000000.0,10714000000.0,9542000000.0,
Reconciled Depreciation,1050000000.0,1075000000.0,1128000000.0,1260000000.0,
Reconciled Cost Of Revenue,17362000000.0,18324000000.0,18520000000.0,18000000000.0,
EBITDA,18702000000.0,15817000000.0,15607000000.0,13828000000.0,
EBIT,17652000000.0,14742000000.0,14479000000.0,12568000000.0,
Net Interest Income,-868000000.0,-668000000.0,-620000000.0,-433000000.0,
Interest Expense,1654000000.0,1656000000.0,1527000000.0,882000000.0,
Interest Income,786000000.0,988000000.0,907000000.0,449000000.0,
Normalized Income,13091397862.232779,12264237276.47868,12190062000.0,10469927000.0,
Net Income From Continuing And Discontinued Operation,13107000000.0,10631000000.0,10714000000.0,9542000000.0,
Total Expenses,33030000000.0,33039000000.0,32656000000.0,30962000000.0,
Total Operating Income As Reported,13762000000.0,9992000000.0,11311000000.0,10909000000.0,
Diluted Average Shares,4313000000.0,4320000000.0,4339000000.0,4350000000.0,
Basic Average Shares,4303000000.0,4309000000.0,4323000000.0,4328000000.0,
Diluted EPS,3.04,2.46,2.47,2.19,
Basic EPS,3.05,2.47,2.48,2.2,
Diluted NI Availto Com Stockholders,13107000000.0,10631000000.0,10714000000.0,9542000000.0,
Net Income Common Stockholders,13107000000.0,10631000000.0,10714000000.0,9542000000.0,
Net Income,13107000000.0,10631000000.0,10714000000.0,9542000000.0,
Minority Interests,-30000000.0,-18000000.0,11000000.0,-29000000.0,
Net Income Including Noncontrolling Interests,13137000000.0,10649000000.0,10703000000.0,9571000000.0,
Net Income Continuous Operations,13137000000.0,10649000000.0,10703000000.0,9571000000.0,
Tax Provision,2861000000.0,2437000000.0,2249000000.0,2115000000.0,
Pretax Income,15998000000.0,13086000000.0,12952000000.0,11686000000.0,
Other Income Expense,1955000000.0,-268000000.0,474000000.0,77000000.0,
Other Non Operating Income Expenses,-95000000.0,-52000000.0,570000000.0,-262000000.0,
Special Income Charges,-501000000.0,-2301000000.0,-1787000000.0,-1133000000.0,
Gain On Sale Of Ppe,,,-35000000.0,,
Gain On Sale Of Business,635000000.0,842000000.0,-35000000.0,,809000000.0
Other Special Charges,10000000.0,-23000000.0,-42000000.0,-219000000.0,
Write Off,65000000.0,34000000.0,39000000.0,96000000.0,
Impairment Of Capital Assets,1045000000.0,886000000.0,,57000000.0,78000000.0
Restructuring And Mergern Acquisition,16000000.0,2246000000.0,1744000000.0,1076000000.0,
Earnings From Equity Interest,2031000000.0,1770000000.0,1691000000.0,1472000000.0,
Gain On Sale Of Security,520000000.0,315000000.0,185000000.0,-496000000.0,
Net Non Operating Interest Income Expense,-868000000.0,-668000000.0,-620000000.0,-433000000.0,
Interest Expense Non Operating,1654000000.0,1656000000.0,1527000000.0,882000000.0,
Interest Income Non Operating,786000000.0,988000000.0,907000000.0,449000000.0,
Operating Income,14911000000.0,14022000000.0,13098000000.0,12042000000.0,
Operating Expense,14633000000.0,14715000000.0,14136000000.0,12962000000.0,
Other Operating Expenses,97000000.0,133000000.0,164000000.0,82000000.0,
Depreciation Amortization Depletion Income Statement,15000000.0,,15000000.0,,
Depreciation And Amortization In Income Statement,15000000.0,,15000000.0,,
Amortization,15000000.0,,15000000.0,,
Amortization Of Intangibles Income Statement,15000000.0,,15000000.0,,
Selling General And Administration,14521000000.0,14582000000.0,13972000000.0,12880000000.0,
Selling And Marketing Expense,5400000000.0,5100000000.0,7609000000.0,7086000000.0,
General And Administrative Expense,9121000000.0,9482000000.0,254000000.0,356000000.0,
Other Gand A,8842000000.0,9196000000.0,,,5135000000.0
Salaries And Wages,279000000.0,286000000.0,254000000.0,356000000.0,
Gross Profit,29544000000.0,28737000000.0,27234000000.0,25004000000.0,
Cost Of Revenue,18397000000.0,18324000000.0,18520000000.0,18000000000.0,
Total Revenue,47941000000.0,47061000000.0,45754000000.0,43004000000.0,
Operating Revenue,47941000000.0,47061000000.0,45754000000.0,43004000000.0,
