,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,23612000000.0,30716000000.0,33450000000.0,58390000000.0,
Repurchase Of Capital Stock,-20273000000.0,-19629000000.0,-17748000000.0,-15155000000.0,
Repayment Of Debt,-6512000000.0,-5911000000.0,-1178000000.0,-8080000000.0,
Issuance Of Debt,6565000000.0,899000000.0,939000000.0,860000000.0,
Capital Expenditure,-28358000000.0,-24306000000.0,-21919000000.0,-18407000000.0,
Interest Paid Supplemental Data,1752000000.0,1900000000.0,1736000000.0,1504000000.0,
Income Tax Paid Supplemental Data,11563000000.0,13293000000.0,15473000000.0,15364000000.0,
End Cash Position,10681000000.0,23187000000.0,31568000000.0,29665000000.0,
Beginning Cash Position,23187000000.0,31568000000.0,29665000000.0,6802000000.0,
Effect Of Exchange Rate Changes,532000000.0,-676000000.0,105000000.0,-78000000.0,
Changes In Cash,-13038000000.0,-7705000000.0,1798000000.0,22941000000.0,
Financing Cash Flow,-39081000000.0,-42789000000.0,-34297000000.0,-39114000000.0,
Cash Flow From Continuing Financing Activities,-39081000000.0,-42789000000.0,-34297000000.0,-39114000000.0,
Net Other Financing Charges,-1630000000.0,-1444000000.0,-1369000000.0,-1800000000.0,
Cash Dividends Paid,-17231000000.0,-16704000000.0,-14941000000.0,-14939000000.0,
Common Stock Dividend Paid,-17231000000.0,-16704000000.0,-14941000000.0,-14939000000.0,
Net Common Stock Issuance,-20273000000.0,-19629000000.0,-17748000000.0,-15155000000.0,
Common Stock Payments,-20273000000.0,-19629000000.0,-17748000000.0,-15155000000.0,
Net Issuance Payments Of Debt,53000000.0,-5012000000.0,-239000000.0,-7220000000.0,
Net Short Term Debt Issuance,-1150000000.0,-4761000000.0,-1163000000.0,-7852000000.0,
Short Term Debt Payments,-5404000000.0,-4761000000.0,-1163000000.0,-8075000000.0,
Short Term Debt Issuance,4254000000.0,0.0,0.0,223000000.0,
Net Long Term Debt Issuance,1203000000.0,-251000000.0,924000000.0,632000000.0,
Long Term Debt Payments,-1108000000.0,-1150000000.0,-15000000.0,-5000000.0,
Long Term Debt Issuance,2311000000.0,899000000.0,939000000.0,637000000.0,
Investing Cash Flow,-25927000000.0,-19938000000.0,-19274000000.0,-14742000000.0,
Cash Flow From Continuing Investing Activities,-25927000000.0,-19938000000.0,-19274000000.0,-14742000000.0,
Net Other Investing Changes,6564000000.0,6913000000.0,5640000000.0,6755000000.0,
Net Investment Purchase And Sale,-4133000000.0,-3299000000.0,-2995000000.0,-3090000000.0,
Purchase Of Investment,-4133000000.0,-3299000000.0,-2995000000.0,-3090000000.0,
Net Business Purchase And Sale,0.0,754000000.0,0.0,0.0,
Sale Of Business,0.0,754000000.0,0.0,0.0,
Net PPE Purchase And Sale,-28358000000.0,-24306000000.0,-21919000000.0,-18407000000.0,
Purchase Of PPE,-28358000000.0,-24306000000.0,-21919000000.0,-18407000000.0,
Operating Cash Flow,51970000000.0,55022000000.0,55369000000.0,76797000000.0,
Cash Flow From Continuing Operating Activities,51970000000.0,55022000000.0,55369000000.0,76797000000.0,
Dividend Received Cfo,3006000000.0,191000000.0,509000000.0,-2446000000.0,
Dividend Paid Cfo,,,,-2446000000.0,-668000000.0
Change In Working Capital,-7728000000.0,-1826000000.0,-4255000000.0,-194000000.0,
Change In Other Current Assets,-164000000.0,389000000.0,-426000000.0,-688000000.0,
Change In Payables And Accrued Expense,-222000000.0,5627000000.0,-4727000000.0,18460000000.0,
Change In Payable,-222000000.0,5627000000.0,-4727000000.0,18460000000.0,
Change In Inventory,-4300000000.0,-1812000000.0,-3472000000.0,-6947000000.0,
Change In Receivables,-3042000000.0,-6030000000.0,4370000000.0,-11019000000.0,
Other Non Cash Items,1664000000.0,1087000000.0,1897000000.0,-1025000000.0,
Provisionand Write Offof Assets,-1430000000.0,-1712000000.0,-1501000000.0,-1932000000.0,
Deferred Tax,765000000.0,-865000000.0,634000000.0,3758000000.0,
Deferred Income Tax,765000000.0,-865000000.0,634000000.0,3758000000.0,
Depreciation Amortization Depletion,25993000000.0,23442000000.0,20641000000.0,24040000000.0,
Operating Gains Losses,-64000000.0,-358000000.0,90000000.0,-2981000000.0,
Pension And Employee Benefit Expense,-64000000.0,-358000000.0,90000000.0,-2981000000.0,
Net Income From Continuing Operations,29764000000.0,35063000000.0,37354000000.0,57577000000.0,
